tab,articles,first_article_month,last_article_month,proposed_hub_client,status,in_salesforce,sf_contract_years,note
Mirage,759,2023-10,2025-12,,decision,no,,no Hub client — add to SOW or out of scope?
Curology,370,2022-01,2023-02,,decision,yes,2022–2023,no Hub client — add to SOW or out of scope?
Worldcoin,333,2022-07,2023-02,,decision,yes,2022–2023,no Hub client — add to SOW or out of scope?
Flip,307,2022-06,2022-12,,decision,no,,no Hub client — add to SOW or out of scope?
EarnIn,267,2023-07,2025-04,,decision,yes,2023–2025,which Hub variant — B2C or B2B?
Jaanuu,248,2021-12,2022-09,,decision,yes,2021–2021,no Hub client — add to SOW or out of scope?
Workleap,194,2025-05,2026-03,Workleap + Sharegate,applied,yes,2025–2026,
Little Passports,159,2022-02,2023-03,,decision,yes,2022–2023,no Hub client — add to SOW or out of scope?
Neiman,158,2022-11,2023-05,Neiman Marcus,proposed,no,,shorthand
Gopuff,152,2022-03,2022-08,,decision,yes,?–?,no Hub client — add to SOW or out of scope?
Athena2,145,2020-10,2025-11,,decision,no,,second Athena engagement?
Orderful 2,135,2024-10,2025-06,Orderful (II),proposed,no,,phase-2 tab
Bergdorf,134,2022-10,2023-05,,decision,no,,no Hub client — add to SOW or out of scope?
Mailjet,128,2022-02,2025-02,,decision,no,,no Hub client — add to SOW or out of scope?
Email On Acid,112,2022-02,2022-11,,decision,no,,no Hub client — add to SOW or out of scope?
Orderful,111,2023-05,2023-10,Orderful (I),proposed,yes,2024–2025,phase-1 tab
Mailgun,107,2022-02,2022-11,,decision,no,,no Hub client — add to SOW or out of scope?
Shift,87,2022-03,2022-05,,decision,yes,2021–2022,no Hub client — add to SOW or out of scope?
Dynamite,58,2022-07,2022-10,,decision,yes,2022–2022,no Hub client — add to SOW or out of scope?
ShareGate,49,2025-08,2026-04,Workleap + Sharegate,proposed,no,,combined Hub client
Genstore,40,2025-03,2026-03,GenstoreAI,proposed,yes,2025–2026,same client
ESGgo,34,2022-07,2022-11,,decision,no,,no Hub client — add to SOW or out of scope?
Descript,31,2022-04,2022-06,,decision,yes,2021–2024,no Hub client — add to SOW or out of scope?
FRC,15,2023-05,2023-06,First Round Capital,proposed,no,,acronym
OpenSea,15,2022-06,2022-08,,decision,yes,2022–2023,no Hub client — add to SOW or out of scope?
Men's Warehouse,12,,,Men's Wearhouse,proposed,no,,tab is misspelled
Cadre,6,2022-03,2022-03,,decision,yes,2022–2022,no Hub client — add to SOW or out of scope?
Credit Karma,1,2026-04,2026-04,,decision,yes,2024–2026 (active),no Hub client — add to SOW or out of scope?
